"REPORT_ID","TYPE_DW","FINANCE_CORP_COUNT","FINANCE_ORG_COUNT","ACCOUNT_COUNT","CREDIT_LIMIT","MAX_CREDIT_LIMIT_PER_ORG","MIN_CREDIT_LIMIT_PER_ORG","BALANCE","USED_CREDIT_LIMIT","LATEST_6M_USED_AVG_AMOUNT"
"2463322","未销户准贷记卡信息汇总","1","1","1","1.00","1.00","1.00","","0.00","0.00"
"2463336","未结清贷款信息汇总","4","4","9","68000.00","","","15113.00","","3552.00"
"2463336","未销户贷记卡信息汇总","6","6","8","104750.00","30000.00","5000.00","","98312.00","96930.00"
"2468078","未销户贷记卡信息汇总","2","2","4","15000.00","12000.00","3000.00","","2439.00","1131.00"
"2460988","未结清贷款信息汇总","2","2","2","43000.00","","","43000.00","","0.00"
"2460988","未销户贷记卡信息汇总","2","2","3","112944.00","62944.00","50000.00","","78677.00","104685.00"
"2468146","未结清贷款信息汇总","3","3","3","23600.00","","","15600.00","","184.00"
"2468146","未销户贷记卡信息汇总","9","9","12","172100.00","50000.00","3600.00","","139172.00","138001.00"
"2468167","未结清贷款信息汇总","1","1","4","4433.00","","","3101.00","","379.00"
"2468167","未销户贷记卡信息汇总","2","2","3","13000.00","10000.00","3113.00","","9602.00","7096.00"
"2468936","未结清贷款信息汇总","3","3","3","4400.00","","","4400.00","","1022.00"
"2468936","未销户贷记卡信息汇总","1","1","4","1300.00","1301.00","1301.00","","1263.00","1160.00"
"2468945","未结清贷款信息汇总","1","1","1","10000.00","","","9191.00","","0.00"
"2468945","未销户贷记卡信息汇总","8","8","12","154000.00","36000.00","5000.00","","62697.00","63546.00"
"2462660","未结清贷款信息汇总","4","4","4","38988.00","","","28893.00","","1420.00"
"2462660","未销户贷记卡信息汇总","7","7","8","60000.00","20000.00","0.00","","60099.00","57609.00"
"2465011","未结清贷款信息汇总","5","5","26","41101.00","","","22714.00","","2972.00"
"2465011","未销户贷记卡信息汇总","7","7","14","58900.00","19138.00","0.00","","57136.00","56611.00"
"2468189","未结清贷款信息汇总","1","1","7","49999.00","","","49745.00","","0.00"
"2468189","未销户贷记卡信息汇总","3","3","6","60075.00","31068.00","10000.00","","40694.00","46922.00"
"2468197","未结清贷款信息汇总","4","4","4","13100.00","","","10886.00","","992.00"
"2468197","未销户贷记卡信息汇总","1","1","1","5000.00","5000.00","5000.00","","5084.00","4393.00"
"2468200","未结清贷款信息汇总","2","2","2","178000.00","","","168974.00","","1390.00"
"2468200","未销户贷记卡信息汇总","4","4","4","31000.00","14000.00","5000.00","","784.00","499.00"
"2459539","未结清贷款信息汇总","5","5","10","74700.00","","","53849.00","","3874.00"
"2459539","未销户贷记卡信息汇总","10","10","14","127000.00","32000.00","1000.00","","93925.00","97276.00"
"2459539","未销户准贷记卡信息汇总","1","1","2","0.00","0.00","0.00","","0.00","0.00"
"2463487","未结清贷款信息汇总","1","1","1","53000.00","","","29548.00","","1850.00"
"2463487","未销户贷记卡信息汇总","5","5","6","24000.00","12000.00","500.00","","23498.00","24333.00"
"2465796","未销户贷记卡信息汇总","3","3","11","55000.00","40000.00","6031.00","","28078.00","19303.00"
"2469044","未结清贷款信息汇总","3","3","3","130000.00","","","123782.00","","0.00"
"2469044","未销户贷记卡信息汇总","5","6","15","80000.00","15000.00","0.00","","42639.00","35545.00"
"2469869","未结清贷款信息汇总","2","2","2","18300.00","","","16200.00","","1113.00"
"2469869","未销户贷记卡信息汇总","3","3","4","38700.00","25000.00","3700.00","","32765.00","33783.00"
"2463505","未结清贷款信息汇总","4","4","10","34457.00","","","32472.00","","331.00"
"2463505","未销户贷记卡信息汇总","4","4","6","47853.00","20000.00","5000.00","","6993.00","5991.00"
"2463517","未结清贷款信息汇总","3","3","3","19500.00","","","19288.00","","88.00"
"2463517","未销户贷记卡信息汇总","2","2","4","4849.00","10000.00","500.00","","2071.00","2099.00"
"2463518","未结清贷款信息汇总","1","1","1","1000.00","","","0.00","","0.00"
"2463518","未销户贷记卡信息汇总","2","2","3","21000.00","18368.00","5000.00","","12547.00","9682.00"
"2463535","未结清贷款信息汇总","1","1","1","2518.00","","","1737.00","","188.00"
"2463535","未销户贷记卡信息汇总","7","7","8","44501.00","11000.00","1.00","","5998.00","13530.00"
"2464312","未结清贷款信息汇总","3","3","4","8795.00","","","7521.00","","964.00"
"2464312","未销户贷记卡信息汇总","2","2","3","12000.00","7000.00","5000.00","","8016.00","9498.00"
"2466668","未结清贷款信息汇总","1","1","1","1500.00","","","1250.00","","113.00"
"2466668","未销户贷记卡信息汇总","4","4","5","69000.00","35000.00","2000.00","","69131.00","69091.00"
"2461186","未结清贷款信息汇总","4","4","4","32179.00","","","27879.00","","1683.00"
"2461186","未销户贷记卡信息汇总","4","4","5","83000.00","48000.00","3000.00","","31422.00","17392.00"
"2462780","未结清贷款信息汇总","2","2","12","14951.00","","","9205.00","","1276.00"
"2462780","未销户贷记卡信息汇总","5","5","9","92400.00","29000.00","10400.00","","64362.00","74014.00"
"2466724","未结清贷款信息汇总","4","4","5","9071.00","","","7903.00","","2411.00"
"2466724","未销户贷记卡信息汇总","3","3","5","14000.00","5000.00","4000.00","","14408.00","15971.00"
"2469158","未结清贷款信息汇总","1","1","3","8796.00","","","5494.00","","1153.00"
"2469158","未销户贷记卡信息汇总","3","3","4","25000.00","10000.00","7000.00","","24227.00","19691.00"
"2470000","未结清贷款信息汇总","1","1","1","30000.00","","","25500.00","","2066.00"
"2470000","未销户贷记卡信息汇总","4","4","7","70882.00","50000.00","6000.00","","64606.00","64463.00"
"2471640","未结清贷款信息汇总","6","6","6","18700.00","","","16981.00","","2398.00"
"2471640","未销户贷记卡信息汇总","4","4","9","49000.00","28000.00","3000.00","","49686.00","49588.00"
"2462845","未销户贷记卡信息汇总","5","5","7","35000.00","12000.00","5000.00","","27231.00","22077.00"
"2468430","未结清贷款信息汇总","1","1","1","1400.00","","","1400.00","","0.00"
"2468430","未销户贷记卡信息汇总","3","3","6","17000.00","11000.00","3000.00","","13405.00","13321.00"
"2463645","未结清贷款信息汇总","1","1","1","2799.00","","","2467.00","","142.00"
"2463645","未销户贷记卡信息汇总","4","4","5","50000.00","20000.00","5000.00","","44846.00","37094.00"
"2464466","未结清贷款信息汇总","1","1","3","11000.00","","","9706.00","","470.00"
"2464466","未销户贷记卡信息汇总","2","2","4","12000.00","12650.00","1000.00","","7129.00","7016.00"
"2466033","未销户贷记卡信息汇总","1","1","2","10000.00","10000.00","10000.00","","9926.00","10006.00"
"2466791","未结清贷款信息汇总","6","6","12","56622.00","","","47769.00","","3939.00"
"2466791","未销户贷记卡信息汇总","3","3","5","36000.00","20000.00","6000.00","","23995.00","17078.00"
"2468450","未结清贷款信息汇总","2","2","2","110000.00","","","110000.00","","2929.00"
"2468450","未销户贷记卡信息汇总","4","4","4","78200.00","42000.00","200.00","","59558.00","55597.00"
"2470890","未结清贷款信息汇总","6","6","8","54766.00","","","40636.00","","5348.00"
"2470890","未销户贷记卡信息汇总","4","4","6","59000.00","34440.00","4000.00","","61087.00","62480.00"
"2461310","未销户贷记卡信息汇总","1","1","1","18000.00","18000.00","18000.00","","1344.00","995.00"
"2462122","未销户贷记卡信息汇总","2","2","2","34000.00","32000.00","2000.00","","33385.00","22825.00"
"2469281","未销户贷记卡信息汇总","2","2","2","25000.00","18000.00","7000.00","","22253.00","13084.00"
"2469299","未结清贷款信息汇总","1","1","1","12000.00","","","9246.00","","875.00"
"2469299","未销户贷记卡信息汇总","2","2","3","40200.00","30200.00","10000.00","","9150.00","21346.00"
"2462973","未销户贷记卡信息汇总","2","2","3","19000.00","20793.00","1000.00","","0.00","0.00"
"2468567","未结清贷款信息汇总","1","1","1","240000.00","","","240000.00","","0.00"
"2459869","未结清贷款信息汇总","2","2","2","3600.00","","","2100.00","","277.00"
"2459869","未销户贷记卡信息汇总","1","1","1","9000.00","9000.00","9000.00","","1787.00","921.00"
"2459895","未结清贷款信息汇总","1","1","1","104000.00","","","92972.00","","2436.00"
"2459895","未销户贷记卡信息汇总","3","3","3","164582.00","147582.00","2000.00","","16186.00","19535.00"
"2460615","未结清贷款信息汇总","1","1","1","4238.00","","","2630.00","","393.00"
"2460615","未销户贷记卡信息汇总","1","1","2","10000.00","10569.00","10569.00","","9993.00","9192.00"
"2461408","未结清贷款信息汇总","6","6","7","54900.00","","","33800.00","","1663.00"
"2461408","未销户贷记卡信息汇总","2","2","2","20500.00","15500.00","5000.00","","13515.00","6027.00"
"2462234","未结清贷款信息汇总","7","7","12","92111.00","","","76441.00","","11937.00"
"2462234","未销户贷记卡信息汇总","4","4","6","62000.00","28000.00","2000.00","","50176.00","52226.00"
"2463810","未销户贷记卡信息汇总","3","3","4","71860.00","59860.00","2000.00","","11906.00","11598.00"
"2466161","未销户贷记卡信息汇总","1","1","1","10000.00","10000.00","10000.00","","10000.00","7974.00"
"2467744","未结清贷款信息汇总","7","7","10","351565.00","","","110862.00","","4891.00"
"2467744","未销户贷记卡信息汇总","3","3","6","34000.00","28000.00","0.00","","1084.00","2742.00"
"2467771","未结清贷款信息汇总","3","3","4","32350.00","","","27750.00","","2338.00"
"2467771","未销户贷记卡信息汇总","10","10","13","151038.00","30000.00","1000.00","","123669.00","115693.00"
"2469402","未结清贷款信息汇总","3","3","4","114900.00","","","55933.00","","1527.00"
"2469402","未销户贷记卡信息汇总","7","7","11","123500.00","32000.00","4500.00","","49581.00","30079.00"
"2462282","未结清贷款信息汇总","1","1","5","20802.00","","","14940.00","","2379.00"
"2462282","未销户贷记卡信息汇总","2","2","3","53000.00","43000.00","10000.00","","30183.00","23339.00"
"2462289","未结清贷款信息汇总","2","2","2","19200.00","","","16903.00","","910.00"
"2462289","未销户贷记卡信息汇总","4","4","4","61000.00","20000.00","7000.00","","57353.00","39927.00"
"2462314","未销户贷记卡信息汇总","2","2","3","9000.00","6000.00","3000.00","","3645.00","7169.00"
"2466199","未结清贷款信息汇总","3","3","4","577200.00","","","574437.00","","1464.00"
"2466199","未销户贷记卡信息汇总","3","3","5","22000.00","10000.00","6000.00","","14833.00","10056.00"
"2467005","未结清贷款信息汇总","1","1","1","6000.00","","","0.00","","117.00"
"2467005","未销户贷记卡信息汇总","4","4","5","77000.00","18000.00","5000.00","","16454.00","13144.00"
"2467008","未结清贷款信息汇总","2","2","2","16205.00","","","15705.00","","346.00"
"2467008","未销户贷记卡信息汇总","6","6","8","44500.00","14000.00","2500.00","","30949.00","33345.00"
"2467033","未结清贷款信息汇总","2","2","2","7435.00","","","6235.00","","210.00"
"2467033","未销户贷记卡信息汇总","1","1","1","4500.00","4500.00","4500.00","","3578.00","3719.00"
"2467037","未结清贷款信息汇总","2","2","2","24500.00","","","22500.00","","929.00"
"2467037","未销户贷记卡信息汇总","7","7","13","89896.00","20656.00","600.00","","28531.00","31220.00"
"2468631","未结清贷款信息汇总","4","4","5","39521.00","","","35864.00","","2637.00"
"2468631","未销户贷记卡信息汇总","7","7","10","68500.00","20000.00","500.00","","67829.00","71386.00"
"2465472","未结清贷款信息汇总","2","2","2","46400.00","","","43567.00","","1416.00"
"2465472","未销户贷记卡信息汇总","2","2","5","38617.00","24617.00","14000.00","","9663.00","17568.00"
"2467059","未结清贷款信息汇总","4","4","4","12200.00","","","8430.00","","667.00"
"2467059","未销户贷记卡信息汇总","3","3","4","15000.00","10000.00","2000.00","","11599.00","11429.00"
"2467064","未销户贷记卡信息汇总","1","1","1","7000.00","7000.00","7000.00","","4114.00","2797.00"
"2468718","未结清贷款信息汇总","1","1","1","10000.00","","","7000.00","","676.00"
"2468718","未销户贷记卡信息汇总","4","4","5","33000.00","10356.00","6000.00","","8727.00","14592.00"
"2463956","未结清贷款信息汇总","2","2","2","30000.00","","","20350.00","","1844.00"
"2463956","未销户贷记卡信息汇总","5","5","8","74800.00","30000.00","8000.00","","71537.00","70099.00"
"2463974","未结清贷款信息汇总","4","4","4","15074.00","","","15005.00","","203.00"
"2463974","未销户贷记卡信息汇总","4","4","8","52651.00","20688.00","0.00","","29355.00","26508.00"
"2464769","未销户贷记卡信息汇总","4","4","6","53000.00","23000.00","5000.00","","45700.00","37391.00"
"2470374","未结清贷款信息汇总","5","5","5","46185.00","","","38318.00","","2560.00"
"2470374","未销户贷记卡信息汇总","8","8","13","124501.00","27000.00","1.00","","44208.00","44741.00"
"2460063","未销户贷记卡信息汇总","1","1","2","12000.00","12000.00","12000.00","","18.00","10653.00"
"2467965","未销户贷记卡信息汇总","7","7","13","286000.00","117000.00","22000.00","","265980.00","210143.00"
"2467966","未结清贷款信息汇总","1","1","1","34950.00","","","34950.00","","0.00"
"2467966","未销户贷记卡信息汇总","4","4","8","54193.00","27000.00","2193.00","","33363.00","27321.00"
"2468803","未结清贷款信息汇总","2","2","2","175000.00","","","171994.00","","767.00"
"2468803","未销户贷记卡信息汇总","8","8","10","109600.00","30000.00","600.00","","91089.00","65373.00"
"2470432","未结清贷款信息汇总","1","1","1","1000.00","","","340.00","","234.00"
"2470432","未销户贷记卡信息汇总","1","1","1","2000.00","2000.00","2000.00","","1702.00","2160.00"
"2470460","未结清贷款信息汇总","4","4","6","79289.00","","","71673.00","","2535.00"
"2470460","未销户贷记卡信息汇总","9","9","13","110800.00","30795.00","4000.00","","87043.00","69498.00"
"2462489","未销户贷记卡信息汇总","1","1","1","5000.00","5000.00","5000.00","","2034.00","1017.00"
"2469631","未销户贷记卡信息汇总","3","3","3","22010.00","12000.00","10.00","","0.00","1666.00"
"2513090","未结清贷款信息汇总","3","3","9","35324.00","","","25399.00","","2215.00"
"2513090","未销户贷记卡信息汇总","3","3","5","66900.00","40000.00","12000.00","","64290.00","61865.00"
"2518562","未销户贷记卡信息汇总","1","1","1","5000.00","5000.00","5000.00","","0.00","0.00"
"2512289","未结清贷款信息汇总","1","1","1","8000.00","","","7371.00","","356.00"
"2512289","未销户贷记卡信息汇总","3","3","5","26000.00","10020.00","3000.00","","16256.00","16350.00"
"2519437","未结清贷款信息汇总","1","1","1","1699.00","","","1699.00","","0.00"
"2519437","未销户贷记卡信息汇总","2","2","3","10001.00","10000.00","1.00","","6930.00","4271.00"
"2512368","未结清贷款信息汇总","4","4","17","47699.00","","","30019.00","","2067.00"
"2512368","未销户贷记卡信息汇总","6","6","11","60500.00","20000.00","2500.00","","26842.00","20431.00"
"2512368","未销户准贷记卡信息汇总","1","1","2","1.00","0.00","0.00","","0.00","0.00"
"2513286","未结清贷款信息汇总","3","3","3","15409.00","","","10685.00","","971.00"
"2513286","未销户贷记卡信息汇总","6","6","11","145000.00","50000.00","2000.00","","71143.00","83749.00"
"2521080","未结清贷款信息汇总","3","4","4","7676.00","","","6670.00","","323.00"
"2521080","未销户贷记卡信息汇总","2","2","6","16000.00","11000.00","5535.00","","16187.00","15843.00"
"2517223","未销户贷记卡信息汇总","1","1","1","7000.00","7000.00","7000.00","","4950.00","4944.00"
"2517226","未结清贷款信息汇总","4","4","4","46288.00","","","36786.00","","2090.00"
"2517226","未销户贷记卡信息汇总","5","5","10","47550.00","30000.00","0.00","","38199.00","36192.00"
"2524120","未结清贷款信息汇总","2","2","2","7719.00","","","5410.00","","508.00"
"2524120","未销户贷记卡信息汇总","1","1","1","7000.00","7000.00","7000.00","","1113.00","1992.00"
"2513387","未结清贷款信息汇总","3","3","3","14000.00","","","13446.00","","747.00"
"2513387","未销户贷记卡信息汇总","1","1","2","12000.00","12394.00","12394.00","","11993.00","12076.00"
"2513406","未结清贷款信息汇总","2","2","3","280000.00","","","234564.00","","1439.00"
"2513406","未销户贷记卡信息汇总","3","3","4","49489.00","16000.00","7500.00","","17450.00","21012.00"
"2521168","未结清贷款信息汇总","2","2","2","37000.00","","","35250.00","","1909.00"
"2521168","未销户贷记卡信息汇总","7","7","9","150300.00","36000.00","10000.00","","141503.00","128302.00"
"2513431","未结清贷款信息汇总","3","3","4","102196.00","","","100780.00","","535.00"
"2513431","未销户贷记卡信息汇总","2","2","2","18500.00","16000.00","2500.00","","18291.00","18299.00"
"2514991","未销户贷记卡信息汇总","6","6","10","58001.00","32000.00","0.00","","57594.00","49672.00"
"2514992","未结清贷款信息汇总","3","3","6","22596.00","","","21101.00","","2275.00"
"2514992","未销户贷记卡信息汇总","1","1","1","10000.00","10000.00","10000.00","","9853.00","9874.00"
"2519650","未结清贷款信息汇总","3","3","3","13900.00","","","11400.00","","1059.00"
"2519650","未销户贷记卡信息汇总","4","4","8","48040.00","15940.00","4000.00","","30914.00","17728.00"
"2513476","未结清贷款信息汇总","1","1","1","9800.00","","","8786.00","","337.00"
"2513476","未销户贷记卡信息汇总","3","3","4","22000.00","19000.00","3000.00","","13318.00","12494.00"
"2518140","未结清贷款信息汇总","5","5","16","31796.00","","","25307.00","","1635.00"
"2518140","未销户贷记卡信息汇总","1","1","1","12000.00","12000.00","12000.00","","0.00","2439.00"
"2522119","未销户贷记卡信息汇总","2","2","2","15000.00","10000.00","5000.00","","6919.00","11829.00"
"2522851","未结清贷款信息汇总","4","4","5","29250.00","","","19642.00","","3020.00"
"2522851","未销户贷记卡信息汇总","5","5","10","63000.00","20000.00","5753.00","","51390.00","36883.00"
"2524383","未销户贷记卡信息汇总","2","2","3","68000.00","50000.00","20630.00","","37144.00","31436.00"
"2512737","未结清贷款信息汇总","3","3","3","44500.00","","","44500.00","","0.00"
"2512737","未销户贷记卡信息汇总","7","7","9","194500.00","84000.00","4500.00","","20593.00","32718.00"
"2516700","未销户贷记卡信息汇总","2","2","6","38000.00","18000.00","8000.00","","18232.00","18101.00"
"2524424","未结清贷款信息汇总","3","3","4","204299.00","","","203643.00","","648.00"
"2524424","未销户贷记卡信息汇总","2","2","5","15000.00","5000.00","4000.00","","3936.00","3972.00"
"2524428","未结清贷款信息汇总","1","1","1","50000.00","","","50000.00","","0.00"
"2524428","未销户贷记卡信息汇总","2","2","3","17000.00","12000.00","5000.00","","5662.00","7166.00"
"2514403","未结清贷款信息汇总","1","1","1","5870.00","","","4903.00","","497.00"
"2514403","未销户贷记卡信息汇总","4","4","7","5801.00","3000.00","0.00","","4954.00","5046.00"
"2516747","未销户贷记卡信息汇总","2","2","2","30000.00","28000.00","2000.00","","27995.00","27994.00"
"2520655","未结清贷款信息汇总","1","1","1","44000.00","","","20600.00","","3896.00"
"2520655","未销户贷记卡信息汇总","3","3","4","57000.00","35000.00","2000.00","","16902.00","14339.00"
"2513665","未销户贷记卡信息汇总","6","6","8","96000.00","29752.00","6000.00","","94008.00","90993.00"
"2514466","未结清贷款信息汇总","3","3","3","66100.00","","","60949.00","","1411.00"
"2514466","未销户贷记卡信息汇总","10","10","17","449767.00","114478.00","7000.00","","342354.00","362887.00"
"2512873","未结清贷款信息汇总","3","3","8","49914.00","","","36906.00","","5570.00"
"2512873","未销户贷记卡信息汇总","8","8","18","135000.00","55000.00","2000.00","","113706.00","114032.00"
"2512907","未结清贷款信息汇总","2","2","3","19500.00","","","14283.00","","999.00"
"2512907","未销户贷记卡信息汇总","4","4","6","118000.00","50000.00","11263.00","","109314.00","111637.00"
"2524562","未销户贷记卡信息汇总","2","2","3","20000.00","17000.00","3000.00","","2301.00","3388.00"
"2514521","未结清贷款信息汇总","2","2","4","10100.00","","","8550.00","","719.00"
"2514521","未销户贷记卡信息汇总","2","2","3","10000.00","5000.00","5000.00","","7083.00","7438.00"
"2520007","未结清贷款信息汇总","1","1","1","6000.00","","","0.00","","75.00"
"2520007","未销户贷记卡信息汇总","7","7","14","178340.00","40000.00","1000.00","","118962.00","109543.00"
"2523828","未结清贷款信息汇总","2","2","2","7500.00","","","6078.00","","519.00"
"2523828","未销户贷记卡信息汇总","4","4","4","57200.00","25000.00","5000.00","","53075.00","51764.00"
"2513028","未结清贷款信息汇总","4","4","4","11100.00","","","10861.00","","213.00"
"2513028","未销户贷记卡信息汇总","8","8","26","63500.00","25162.00","3000.00","","55425.00","52518.00"
"2513028","未销户准贷记卡信息汇总","1","1","1","0.00","0.00","0.00","","0.00","0.00"
"2513029","未结清贷款信息汇总","2","2","2","8500.00","","","8400.00","","196.00"
"2513029","未销户贷记卡信息汇总","5","5","6","29000.00","11000.00","0.00","","15672.00","26129.00"
"2538027","未结清贷款信息汇总","2","2","2","17439.00","","","9425.00","","4302.00"
"2538027","未销户贷记卡信息汇总","4","4","7","27000.00","12000.00","2000.00","","20278.00","18940.00"
"2538027","未销户准贷记卡信息汇总","1","1","1","0.00","0.00","0.00","","0.00","0.00"
"2538047","未结清贷款信息汇总","5","5","9","155000.00","","","106519.00","","2751.00"
"2538047","未销户贷记卡信息汇总","8","8","15","129000.00","35000.00","5000.00","","84270.00","85450.00"
"2539624","未销户贷记卡信息汇总","8","8","11","93459.00","25000.00","3459.00","","60421.00","47768.00"
"2539629","未结清贷款信息汇总","4","4","4","35410.00","","","32910.00","","1943.00"
"2539629","未销户贷记卡信息汇总","3","3","5","42000.00","32000.00","3000.00","","43370.00","32948.00"
"2542721","未结清贷款信息汇总","6","7","8","75000.00","","","44956.00","","6970.00"
"2542721","未销户贷记卡信息汇总","13","13","36","230300.00","53181.00","2000.00","","128238.00","119791.00"
"2543552","未结清贷款信息汇总","5","5","5","23200.00","","","17427.00","","3829.00"
"2543552","未销户贷记卡信息汇总","1","1","2","12000.00","12000.00","12000.00","","12136.00","10131.00"
"2541994","未结清贷款信息汇总","5","5","5","513500.00","","","423571.00","","5333.00"
"2541994","未销户贷记卡信息汇总","8","8","12","198889.00","88889.00","7000.00","","119354.00","128885.00"
"2542022","未结清贷款信息汇总","5","5","8","249600.00","","","240007.00","","2039.00"
"2542022","未销户贷记卡信息汇总","2","2","3","81500.00","61000.00","20500.00","","31557.00","22435.00"
"2545238","未结清贷款信息汇总","2","2","2","21800.00","","","15776.00","","1221.00"
"2545238","未销户贷记卡信息汇总","4","4","6","75001.00","45000.00","1.00","","49688.00","52657.00"
"2545238","未销户准贷记卡信息汇总","1","1","2","1706.00","1706.00","1706.00","","0.00","0.00"
"2545272","未结清贷款信息汇总","5","5","5","74500.00","","","66500.00","","795.00"
"2545272","未销户贷记卡信息汇总","1","1","1","20000.00","20000.00","20000.00","","0.00","1012.00"
"2546891","未结清贷款信息汇总","3","3","3","65800.00","","","56384.00","","3038.00"
"2546891","未销户贷记卡信息汇总","9","9","12","257500.00","60000.00","4000.00","","182546.00","194257.00"
"2538125","未结清贷款信息汇总","2","2","5","193000.00","","","140184.00","","1392.00"
"2538125","未销户贷记卡信息汇总","5","5","9","143000.00","78000.00","10000.00","","137452.00","117504.00"
"2542032","未结清贷款信息汇总","1","1","1","270000.00","","","241409.00","","1786.00"
"2542032","未销户贷记卡信息汇总","1","1","1","16000.00","16000.00","16000.00","","15898.00","11174.00"
"2542837","未结清贷款信息汇总","3","3","11","72089.00","","","31436.00","","3117.00"
"2542837","未销户贷记卡信息汇总","1","1","2","18000.00","18000.00","18000.00","","13508.00","11871.00"
"2542874","未销户贷记卡信息汇总","2","2","3","20000.00","15000.00","5000.00","","0.00","4986.00"
"2546925","未结清贷款信息汇总","1","1","1","300000.00","","","300000.00","","0.00"
"2546925","未销户贷记卡信息汇总","2","2","2","30000.00","15000.00","5000.00","","13157.00","16447.00"
"2542919","未结清贷款信息汇总","5","5","10","957525.00","","","923040.00","","11012.00"
"2542919","未销户贷记卡信息汇总","7","7","16","200000.00","50000.00","10000.00","","174589.00","143815.00"
"2544512","未结清贷款信息汇总","4","4","6","13280.00","","","10879.00","","254.00"
"2544512","未销户贷记卡信息汇总","4","4","7","38000.00","24000.00","2000.00","","20895.00","29031.00"
"2546998","未销户贷记卡信息汇总","2","2","2","10000.00","5000.00","5000.00","","4296.00","4742.00"
"2537401","未结清贷款信息汇总","4","4","4","14287.00","","","10450.00","","750.00"
"2537401","未销户贷记卡信息汇总","7","7","16","89327.00","25000.00","4000.00","","89319.00","93007.00"
"2544597","未结清贷款信息汇总","4","4","12","108863.00","","","64542.00","","7244.00"
"2544597","未销户贷记卡信息汇总","6","6","10","237500.00","108500.00","10225.00","","165971.00","171368.00"
"2544612","未结清贷款信息汇总","1","1","1","3888.00","","","1636.00","","480.00"
"2544612","未销户贷记卡信息汇总","3","3","3","10000.00","5000.00","2000.00","","3999.00","1853.00"
"2547884","未结清贷款信息汇总","2","4","5","19943.00","","","13954.00","","2182.00"
"2547884","未销户贷记卡信息汇总","1","1","1","8000.00","8000.00","8000.00","","6239.00","6044.00"
"2549398","未结清贷款信息汇总","4","4","5","169509.00","","","154107.00","","2150.00"
"2549398","未销户贷记卡信息汇总","2","2","2","59000.00","21000.00","8000.00","","27002.00","15604.00"
"2537450","未结清贷款信息汇总","3","3","3","12000.00","","","11200.00","","2346.00"
"2537450","未销户贷记卡信息汇总","3","3","3","20000.00","10000.00","4000.00","","10413.00","9702.00"
"2537460","未结清贷款信息汇总","1","1","1","100000.00","","","100000.00","","0.00"
"2537460","未销户贷记卡信息汇总","8","8","10","149000.00","50000.00","2000.00","","143966.00","145036.00"
"2537491","未结清贷款信息汇总","3","3","3","89000.00","","","50226.00","","4239.00"
"2537491","未销户贷记卡信息汇总","4","4","7","35000.00","12000.00","5000.00","","11615.00","32415.00"
"2543032","未结清贷款信息汇总","2","2","3","11200.00","","","7562.00","","437.00"
"2543032","未销户贷记卡信息汇总","1","1","2","5000.00","5000.00","5000.00","","4899.00","4815.00"
"2543838","未结清贷款信息汇总","1","1","1","2100.00","","","1411.00","","244.00"
"2543838","未销户贷记卡信息汇总","5","5","6","61257.00","40256.00","1.00","","52882.00","55807.00"
"2545493","未结清贷款信息汇总","2","2","2","14500.00","","","14500.00","","3485.00"
"2545493","未销户贷记卡信息汇总","4","4","5","32000.00","10000.00","2000.00","","11354.00","12269.00"
"2546310","未结清贷款信息汇总","1","1","1","20000.00","","","20000.00","","0.00"
"2546310","未销户贷记卡信息汇总","4","4","6","54500.00","20000.00","8000.00","","53929.00","47185.00"
"2547905","未结清贷款信息汇总","5","5","6","153660.00","","","81402.00","","7711.00"
"2547905","未销户贷记卡信息汇总","9","9","18","158500.00","50000.00","0.00","","155599.00","137705.00"
"2537541","未结清贷款信息汇总","5","5","5","34165.00","","","30949.00","","1112.00"
"2537541","未销户贷记卡信息汇总","6","6","8","97500.00","20000.00","500.00","","20413.00","33847.00"
"2539138","未销户贷记卡信息汇总","3","3","4","45000.00","23000.00","10000.00","","9281.00","26526.00"
"2539143","未销户贷记卡信息汇总","6","6","8","86000.00","18000.00","2000.00","","61645.00","47420.00"
"2539152","未结清贷款信息汇总","3","3","4","50100.00","","","27755.00","","2149.00"
"2539152","未销户贷记卡信息汇总","5","5","8","92000.00","30000.00","2000.00","","73811.00","61594.00"
"2546359","未结清贷款信息汇总","2","2","5","11322.00","","","7601.00","","778.00"
"2546359","未销户贷记卡信息汇总","3","3","3","43000.00","25000.00","6000.00","","41366.00","48371.00"
"2541552","未结清贷款信息汇总","4","4","4","153000.00","","","135489.00","","4739.00"
"2541552","未销户贷记卡信息汇总","7","7","11","142589.00","30000.00","3000.00","","121976.00","109259.00"
"2541552","未销户准贷记卡信息汇总","1","1","1","10000.00","10000.00","10000.00","","0.00","0.00"
"2543100","未结清贷款信息汇总","2","2","3","7400.00","","","7031.00","","129.00"
"2543100","未销户贷记卡信息汇总","4","4","9","131000.00","49000.00","12000.00","","35652.00","27153.00"
"2543100","未销户准贷记卡信息汇总","1","1","1","0.00","0.00","0.00","","23812.00","27688.00"
"2543932","未结清贷款信息汇总","4","4","4","234000.00","","","232018.00","","550.00"
"2543932","未销户贷记卡信息汇总","9","9","12","517477.00","334110.00","10000.00","","174099.00","166689.00"
"2544732","未结清贷款信息汇总","1","1","1","5900.00","","","5900.00","","0.00"
"2544732","未销户贷记卡信息汇总","4","4","6","51833.00","30000.00","0.00","","17691.00","9722.00"
